batch_id,input_symbol,input_company_name,nse_symbol,isin,legal_company_name,common_company_name,normalized_symbol,company_name_key,processed_status,processed_date,curation_status,overall_confidence,latest_annual_report_financial_year,source_profile_file,notes
nifty_500_shariah,3MINDIA,3M India Ltd.,3MINDIA,INE470A01017,3M India Limited,3M India Limited,3MINDIA,3M INDIA,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,ABFRL,Aditya Birla Fashion and Retail Ltd.,ABFRL,INE647O01011,Aditya Birla Fashion and Retail Limited,Aditya Birla Fashion and Retail Limited,ABFRL,ADITYA BIRLA FASHION AND RETAIL,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,ABLBL,Aditya Birla Lifestyle Brands Ltd.,ABLBL,INE14LE01019,Aditya Birla Lifestyle Brands Limited,Aditya Birla Lifestyle Brands Limited,ABLBL,ADITYA BIRLA LIFESTYLE BRANDS,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,ACE,Action Construction Equipment Ltd.,ACE,INE731H01025,Action Construction Equipment Limited,Action Construction Equipment Limited,ACE,ACTION CONSTRUCTION EQUIPMENT,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,ACUTAAS,Acutaas Chemicals Ltd.,ACUTAAS,INE00FF01025,Acutaas Chemicals Limited,Acutaas Chemicals Limited,ACUTAAS,ACUTAAS CHEMICALS,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,AFCONS,Afcons Infrastructure Ltd.,AFCONS,INE101I01011,Afcons Infrastructure Limited,Afcons Infrastructure Limited,AFCONS,AFCONS INFRASTRUCTURE,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,annual-report text extraction: PdfReadError: Cannot find Root object in pdf
nifty_500_shariah,AJANTPHARM,Ajanta Pharma Ltd.,AJANTPHARM,INE031B01049,Ajanta Pharma Limited,Ajanta Pharma Limited,AJANTPHARM,AJANTA PHARMA,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,annual-report text extraction: PdfReadError: Cannot find Root object in pdf
nifty_500_shariah,ALKEM,Alkem Laboratories Ltd.,ALKEM,INE540L01014,Alkem Laboratories Limited,Alkem Laboratories Limited,ALKEM,ALKEM LABORATORIES,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,AMBER,Amber Enterprises India Ltd.,AMBER,INE371P01015,Amber Enterprises India Limited,Amber Enterprises India Limited,AMBER,AMBER ENTERPRISES INDIA,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,ANANTRAJ,Anant Raj Ltd.,ANANTRAJ,INE242C01024,Anant Raj Limited,Anant Raj Limited,ANANTRAJ,ANANT RAJ,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,APARINDS,Apar Industries Ltd.,APARINDS,INE372A01015,Apar Industries Limited,Apar Industries Limited,APARINDS,APAR INDUSTRIES,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,annual-report text extraction: PdfReadError: Cannot find Root object in pdf
nifty_500_shariah,APLAPOLLO,APL Apollo Tubes Ltd.,APLAPOLLO,INE702C01027,APL Apollo Tubes Limited,APL Apollo Tubes Limited,APLAPOLLO,APL APOLLO TUBES,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,APOLLOTYRE,Apollo Tyres Ltd.,APOLLOTYRE,INE438A01022,Apollo Tyres Limited,Apollo Tyres Limited,APOLLOTYRE,APOLLO TYRES,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,ARE&M,Amara Raja Energy & Mobility Ltd.,ARE&M,INE885A01032,Amara Raja Energy & Mobility Limited,Amara Raja Energy & Mobility Limited,ARE&M,AMARA RAJA ENERGY AND MOBILITY,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,ASTERDM,Aster DM Healthcare Ltd.,ASTERDM,INE914M01019,Aster DM Healthcare Limited,Aster DM Healthcare Limited,ASTERDM,ASTER DM HEALTHCARE,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,ASTRAL,Astral Ltd.,ASTRAL,INE006I01046,Astral Limited,Astral Limited,ASTRAL,ASTRAL,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,ATGL,Adani Total Gas Ltd.,ATGL,INE399L01023,Adani Total Gas Limited,Adani Total Gas Limited,ATGL,ADANI TOTAL GAS,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,ATUL,Atul Ltd.,ATUL,INE100A01010,Atul Limited,Atul Limited,ATUL,ATUL,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,annual-report text extraction: PdfReadError: Cannot find Root object in pdf
nifty_500_shariah,AUROPHARMA,Aurobindo Pharma Ltd.,AUROPHARMA,INE406A01037,Aurobindo Pharma Limited,Aurobindo Pharma Limited,AUROPHARMA,AUROBINDO PHARMA,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,BALKRISIND,Balkrishna Industries Ltd.,BALKRISIND,INE787D01026,Balkrishna Industries Limited,Balkrishna Industries Limited,BALKRISIND,BALKRISHNA INDUSTRIES,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,BATAINDIA,Bata India Ltd.,BATAINDIA,INE176A01028,Bata India Limited,Bata India Limited,BATAINDIA,BATA INDIA,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,BAYERCROP,Bayer Cropscience Ltd.,BAYERCROP,INE462A01022,Bayer Cropscience Limited,Bayer Cropscience Limited,BAYERCROP,BAYER CROPSCIENCE,processed,2026-05-27,curated_v2_agent_assisted,0.68,2014-2015,company_profiles.jsonl,
nifty_500_shariah,BBTC,The Bombay Burmah Trading Corporation Ltd.,BBTC,INE050A01025,The Bombay Burmah Trading Corporation Limited,The Bombay Burmah Trading Corporation Limited,BBTC,THE BOMBAY BURMAH TRADING,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,BERGEPAINT,Berger Paints (India) Ltd.,BERGEPAINT,INE463A01038,Berger Paints (I) Limited,Berger Paints (I) Limited,BERGEPAINT,BERGER PAINTS I,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,BHEL,Bharat Heavy Electricals Ltd.,BHEL,INE257A01026,Bharat Heavy Electricals Limited,Bharat Heavy Electricals Limited,BHEL,BHARAT HEAVY ELECTRICALS,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
nifty_500_shariah,BIKAJI,Bikaji Foods International Ltd.,BIKAJI,INE00E101023,Bikaji Foods International Limited,Bikaji Foods International Limited,BIKAJI,BIKAJI FOODS INTERNATIONAL,processed,2026-05-27,curated_v2_agent_assisted,0.68,2024-2025,company_profiles.jsonl,
